,Category,Word,FirstLetter,Word.1,Freq
569,Beruf,Bachelor Professional,B,,16.0
570,Beruf,Bachelor of Arts,B,,114.0
571,Beruf,Bachelor of Science,B,,83.0
572,Beruf,Backend-Entwickler,B,,4.0
573,Beruf,Backofenbauer,B,,1.0
574,Beruf,Backstubenleiterin,B,,1.0
575,Beruf,Backwarenhersteller,B,,1.0
576,Beruf,Badearzt,B,,6.0
577,Beruf,Badeaufsicht,B,,14.0
578,Beruf,Badebetriebsleiter,B,,1.0
579,Beruf,Bademeister,B,,76.0
580,Beruf,Bademeister/in,B,,3.0
581,Beruf,Bademeisterin,B,,7.0
582,Beruf,Bader,B,,100.0
583,Beruf,Badleiter,B,,1.0
584,Beruf,Badmeister,B,,1.0
585,Beruf,Baggerfahrer,B,,12.0
586,Beruf,Baggerführer,B,,2.0
587,Beruf,Bahnarbeiter,B,,9.0
588,Beruf,Bahner,B,,3.0
589,Beruf,Bahnfahrer,B,,22.0
590,Beruf,Bahnhofsvorstand,B,,1.0
591,Beruf,Bahnmeister,B,,2.0
592,Beruf,Bahnmeisterei,B,,9.0
593,Beruf,Bahnmitarbeiter,B,,15.0
594,Beruf,Bahnpolizei,B,,5.0
595,Beruf,Bahnsprecher,B,,18.0
596,Beruf,Bahnsprecherin,B,,18.0
597,Beruf,Bakteriologe,B,,4.0
598,Beruf,Bakteriologie,B,,8.0
599,Beruf,Ballettdirektor,B,,12.0
600,Beruf,Ballettlehrer,B,,2.0
601,Beruf,Ballettlehrerin,B,,1.0
602,Beruf,Ballettmeister,B,,10.0
603,Beruf,Ballettmeisterin,B,,3.0
604,Beruf,Ballettschuhmacher,B,,1.0
605,Beruf,Balletttänzer,B,,5.0
606,Beruf,Balletttänzerin,B,,11.0
